"bookname";"price";"author";"data";"public"
"（）Python编程快速上手:让繁琐工作自动化 python编程书籍python基础教程从入门到实践实例版零基础入门学习";68.8;"Sweigart";"2016-01-01";"人民邮电出版社"
"（迅腾）Python项目实战";54.8;"天津滨海迅腾";"2021-07-07";"天津大学出版社"
"[北京发货] Python*级编程 *2版 python 程序设计 编程源代码开发基础教程书籍";44.5;"贾沃斯基";"2017-10-01";"人民邮电出版社"
"[北京发货] Python数据处理 全面掌握用Python进行爬虫抓取以及数据清洗与分析的方法 轻松";74.25;"Jacqueline";"2017-07-01";"人民邮电出版社"
"[北京发货] 流畅的Python PSF研究员 PyCon演讲者之作 全面深入";96.8;"Luciano";"2017-05-01";"人民邮电出版社"
"[图书]PySpark实战指南：利用Python和Spark构建数据密集型应用并|6877019";59.0;"托马兹・卓巴斯";"2017-11-01";"机械工业出版社"
"[图书]Python UNIX和Linux系统管理指南|196023";79.0;"Noah";"2009-09-01";"机械工业出版社"
"[图书]Python 学习手册(第三版)(数10万Python爱好者的入门之|195760";99.0;"Mark";"2009-08-01";"机械工业出版社"
"[图书]Python学习手册:第4版|197976";119.0;"Mark";"2011-04-01";"机械工业出版社"
"[图书]Python开发技术详解|195761";89.0;"周伟";"2009-08-01";"机械工业出版社"
"[图书]Python数据分析与挖掘实战|4894338";69.0;"张良均";"2016-01-01";"机械工业出版社"
"[图书]Python数据可视化|5423396";69.0;"科斯・拉曼";"2017-03-01";"机械工业出版社"
"[图书]Python数据挖掘：概念、方法与实践|5738046";59.0;"梅甘・斯夸尔";"2017-05-01";"机械工业出版社"
"[图书]Python编程实践|198875";69.0;"Jennifer";"2012-01-01";"机械工业出版社"
"[图书]Python自动化运维：技术与zui佳实践|3804188";69.0;"刘天斯";"2014-11-01";"机械工业出版社"
"[图书]Python高级数据分析：机器学习、深度学习和NLP实例(正文黑白印刷)|8055560";59.0;"萨扬・穆霍帕迪亚";"2019-01-08";"机械工业出版社"
"[图书]利用Python进行数据分析|3768783";89.0;"McKinney";"2014-01-01";"机械工业出版社"
"[图书]机器人系统设计与制作：Python语言实现|5386910";59.0;"郎坦・约瑟夫";"2017-03-01";"机械工业出版社"
"[图书]树莓派Python编程指南|3770905";59.0;"Alex";"2015-01-01";"机械工业出版社"
"[图书]精通Python网络爬虫：核心技术、框架与项目实战|5386911";69.0;"韦玮";"2017-03-01";"机械工业出版社"
"[旧书] Python 网络编程攻略 Dr. M. O. Faruque Sarker 9787115372697 人民";40.8;"Faruque";"2014-12-01";"人民邮电出版社"
"[现货] Python全栈开发实践入门 谢瑛俊 编著 9787121328114 电子工业出版社";52.36;"谢瑛俊";"2017-10-01";"电子工业出版社"
"[现货] Python数据处理 杰奎琳・卡兹奥,凯瑟琳・嘉穆编 9787564170035 东南大学出版社";72.82;"杰奎琳・卡兹奥";"2017-02-01";"东南大学出版社"
"[现货] Python机器学习算法与应用 邓立国 9787302548997 清华大学出版社";52.36;"邓立国";"2020-04-01";"清华大学出版社"
"[现货] Python网络爬虫技术与实战 赵国生王健 9787111674115 机械工业出版社";63.12;"赵国生王健";"2021-02-01";"机械工业出版社"
"[现货] Python面试通关宝典 洪锦魁 9787302565017 清华大学出版社";59.95;"洪锦魁";"2010-01-01";"清华大学出版社"
"[现货] 利用Python轻松学数学 蹇彤 著 9787121389764 电子工业出版社";37.95;"蹇彤";"2020-06-01";"电子工业出版社"
"[现货] 生命科学家的Python指南 (美)A.兰卡斯特,G.韦伯斯特 9787030665980 科学出版社";158.95;"A.兰卡斯特";"2020-12-01";"科学出版社"
"【 配套PPT 教案 源代码】Python程序设计基础与应用 名家董付国老师作品 案例丰富 Python 实战应用开发编";53.68;"不详";"Unknow";"不详"
"【2020新书】笨办法学Python 3 进阶篇 视频教学 笨方法学Python核心编程流畅的Python 编程进阶指南";38.0;"泽德・A";"2021-10-27";"人民邮电出版社"
"【2020新版】Python编程从入门到实践第2版 Python3.5语言程序python3数据分析实战计算机编程入门网";76.0;"Eric";"2019-11-01";"人民邮电出版社"
"【2021现货】Python程序设计应用教程 第2版二版夏敏捷 高等院校计算机基础教育十三五规划 Python编程程序设";57.27;"Unknow";"2020-12-01";"中国铁道出版社"
"【2本套】Python神经网络编程 Python编程从入门到实践Python核心编程实践应用教程深度学习人工智能机器学习";155.4;"Unknow";"2020-09-12";"人民邮电出版社"
"【4本】Python深度学习deep learning中文版人工智能书籍Keras之父 TensorFlow深度学习入门";439.5;"Unknow";"2018-01-01";"清华大学出版社"
"【5本】Python编程从入门到实践python3数据分析python语言程序设计计算机编程入门python网络爬虫开发";439.0;"阿勒普";"2020-11-29";"清华大学出版社"
"【6本套】利用python进行数据分析+金融大数据分析+数据科学手册python网络爬虫 像计算机科学家一样思考pyth";518.0;"赵荣娇";"2020-03-21";"清华大学出版社"
"【JP】Python开发实战 [日]BePROUD股份有限公司,盛荣 人民邮电出版社 9787115320896";79.0;"BePROUD股份有限公司";"2014-06-01";"人民邮电出版社"
"【python编程入门 进阶】像计算机科学家一样思考Python第2版 PythonCookbook第三版中文版 程序设";152.0;"李锴";"2020-11-29";"清华大学出版社"
"【python编程入门+进阶】像计算机科学样思考Python第2版+PythonCookbook第三版中文版 程序设计网";118.1;"李锴";"Unknow";"清华大学出版社"
"【Python编程实战三剑客】Python编程快速上手+Python编程实战+Python极客项目编程 python从入";192.0;"阿尔・斯维加特";"Unknow";"人民邮电出版社"
"【TH】Python网络编程攻略 [英] 萨卡尔,安道 人民邮电出版社 9787115372697";45.0;"萨卡尔";"2014-12-01";"人民邮电出版社"
